deviceId,x,y,z,recordTime
1,16,39,980,2024-08-16T07:58:58.150Z
1,16,39,980,2024-08-16T07:58:58.160Z
1,16,40,979,2024-08-16T07:58:58.170Z
1,17,41,981,2024-08-16T07:58:58.180Z
1,17,40,979,2024-08-16T07:58:58.198Z
1,16,39,983,2024-08-16T07:58:58.202Z
1,18,38,978,2024-08-16T07:58:58.212Z
1,15,38,979,2024-08-16T07:58:58.222Z
1,18,41,981,2024-08-16T07:58:58.232Z
1,18,41,981,2024-08-16T07:58:58.242Z
1,17,39,978,2024-08-16T07:58:58.252Z
1,17,40,981,2024-08-16T07:58:58.262Z
1,16,41,979,2024-08-16T07:58:58.272Z
1,17,39,980,2024-08-16T07:58:58.282Z
1,17,41,979,2024-08-16T07:58:58.292Z
1,19,39,980,2024-08-16T07:58:58.329Z
1,18,39,978,2024-08-16T07:58:58.342Z
1,17,38,980,2024-08-16T07:58:58.351Z
1,16,38,980,2024-08-16T07:58:58.361Z
1,17,38,980,2024-08-16T07:58:58.371Z
1,19,40,979,2024-08-16T07:58:58.381Z
1,16,40,982,2024-08-16T07:58:58.391Z
1,18,40,979,2024-08-16T07:58:58.401Z
1,16,39,981,2024-08-16T07:58:58.411Z
1,17,39,980,2024-08-16T07:58:58.421Z
1,16,38,980,2024-08-16T07:58:58.431Z
1,19,38,979,2024-08-16T07:58:58.441Z
1,17,37,982,2024-08-16T07:58:58.451Z
1,18,37,978,2024-08-16T07:58:58.461Z
1,17,39,981,2024-08-16T07:58:58.471Z
1,16,40,982,2024-08-16T07:58:58.485Z
1,17,40,981,2024-08-16T07:58:58.493Z
1,17,40,978,2024-08-16T07:58:58.503Z
1,16,41,980,2024-08-16T07:58:58.513Z
1,16,40,978,2024-08-16T07:58:58.523Z
1,18,39,980,2024-08-16T07:58:58.533Z
1,16,39,980,2024-08-16T07:58:58.543Z
1,17,41,980,2024-08-16T07:58:58.553Z
1,17,39,979,2024-08-16T07:58:58.563Z
1,17,39,981,2024-08-16T07:58:58.573Z
1,16,39,980,2024-08-16T07:58:58.583Z
1,18,38,979,2024-08-16T07:58:58.593Z
1,16,38,981,2024-08-16T07:58:58.603Z
1,17,40,981,2024-08-16T07:58:58.613Z
1,16,40,980,2024-08-16T07:58:58.631Z
1,17,40,980,2024-08-16T07:58:58.637Z
1,16,39,978,2024-08-16T07:58:58.646Z
1,16,38,980,2024-08-16T07:58:58.656Z
1,18,40,980,2024-08-16T07:58:58.666Z
1,16,39,979,2024-08-16T07:58:58.676Z
1,16,40,980,2024-08-16T07:58:58.686Z
1,19,38,980,2024-08-16T07:58:58.724Z
1,17,40,981,2024-08-16T07:58:58.733Z
1,19,40,979,2024-08-16T07:58:58.743Z
1,17,41,980,2024-08-16T07:58:58.753Z
1,16,40,980,2024-08-16T07:58:58.763Z
1,17,40,979,2024-08-16T07:58:58.777Z
1,17,40,980,2024-08-16T07:58:58.786Z
1,16,41,978,2024-08-16T07:58:58.796Z
1,17,40,979,2024-08-16T07:58:58.810Z
1,16,39,980,2024-08-16T07:58:58.816Z
1,16,40,979,2024-08-16T07:58:58.826Z
1,16,40,980,2024-08-16T07:58:58.836Z
1,17,42,979,2024-08-16T07:58:58.846Z
1,18,40,982,2024-08-16T07:58:58.856Z
1,17,38,980,2024-08-16T07:58:58.866Z
1,17,40,978,2024-08-16T07:58:58.876Z
