deviceId,yaw,pitch,roll,recordTime
1,9,10,-2,2024-08-16T08:08:34.876Z
1,9,10,-2,2024-08-16T08:08:34.886Z
1,8,10,-2,2024-08-16T08:08:34.897Z
1,9,10,-2,2024-08-16T08:08:34.907Z
1,9,10,-2,2024-08-16T08:08:34.916Z
1,9,10,-1,2024-08-16T08:08:34.926Z
1,9,10,-1,2024-08-16T08:08:34.951Z
1,8,10,-2,2024-08-16T08:08:34.961Z
1,8,10,-2,2024-08-16T08:08:34.971Z
1,8,10,-3,2024-08-16T08:08:34.981Z
1,8,10,-3,2024-08-16T08:08:34.991Z
1,8,10,-3,2024-08-16T08:08:35.001Z
1,8,10,-3,2024-08-16T08:08:35.011Z
1,8,10,-3,2024-08-16T08:08:35.020Z
1,8,10,-3,2024-08-16T08:08:35.030Z
1,8,10,-3,2024-08-16T08:08:35.041Z
1,8,10,-3,2024-08-16T08:08:35.050Z
1,8,10,-3,2024-08-16T08:08:35.060Z
1,8,10,-3,2024-08-16T08:08:35.070Z
1,8,10,-4,2024-08-16T08:08:35.081Z
1,8,10,-4,2024-08-16T08:08:35.094Z
1,8,10,-4,2024-08-16T08:08:35.103Z
1,8,10,-4,2024-08-16T08:08:35.113Z
1,8,10,-4,2024-08-16T08:08:35.124Z
1,8,10,-4,2024-08-16T08:08:35.134Z
1,8,10,-4,2024-08-16T08:08:35.143Z
1,8,10,-4,2024-08-16T08:08:35.153Z
1,8,11,-4,2024-08-16T08:08:35.163Z
1,8,11,-4,2024-08-16T08:08:35.173Z
1,7,11,-5,2024-08-16T08:08:35.184Z
1,7,11,-5,2024-08-16T08:08:35.221Z
1,7,11,-5,2024-08-16T08:08:35.237Z
1,7,11,-5,2024-08-16T08:08:35.245Z
1,8,12,-4,2024-08-16T08:08:35.254Z
1,8,12,-4,2024-08-16T08:08:35.264Z
1,8,12,-4,2024-08-16T08:08:35.274Z
1,8,12,-5,2024-08-16T08:08:35.284Z
1,8,12,-5,2024-08-16T08:08:35.294Z
1,8,12,-5,2024-08-16T08:08:35.304Z
1,8,12,-5,2024-08-16T08:08:35.314Z
1,8,12,-6,2024-08-16T08:08:35.324Z
1,8,12,-6,2024-08-16T08:08:35.334Z
1,8,12,-7,2024-08-16T08:08:35.344Z
1,8,12,-7,2024-08-16T08:08:35.353Z
1,8,12,-6,2024-08-16T08:08:35.364Z
1,9,11,-6,2024-08-16T08:08:35.382Z
1,9,11,-5,2024-08-16T08:08:35.387Z
1,9,11,-5,2024-08-16T08:08:35.398Z
1,9,11,-5,2024-08-16T08:08:35.407Z
1,9,11,-4,2024-08-16T08:08:35.418Z
1,10,10,-4,2024-08-16T08:08:35.427Z
1,10,10,-3,2024-08-16T08:08:35.437Z
1,10,9,-3,2024-08-16T08:08:35.448Z
1,10,9,-3,2024-08-16T08:08:35.458Z
1,10,8,-2,2024-08-16T08:08:35.467Z
1,10,8,-2,2024-08-16T08:08:35.478Z
1,10,8,-2,2024-08-16T08:08:35.487Z
1,10,7,-2,2024-08-16T08:08:35.497Z
1,10,7,-2,2024-08-16T08:08:35.508Z
1,10,6,-2,2024-08-16T08:08:35.525Z
1,10,6,-2,2024-08-16T08:08:35.531Z
1,10,5,-2,2024-08-16T08:08:35.540Z
1,10,5,-2,2024-08-16T08:08:35.550Z
1,11,5,-2,2024-08-16T08:08:35.560Z
1,11,5,-1,2024-08-16T08:08:35.571Z
1,11,5,-1,2024-08-16T08:08:35.581Z
1,11,5,-2,2024-08-16T08:08:35.619Z
1,11,6,-2,2024-08-16T08:08:35.628Z
