deviceId,capacity,temperature,recordTime
1,100,30,2024-08-16T11:26:27.670Z
1,100,30,2024-08-16T11:26:28.673Z
1,100,30,2024-08-16T11:26:29.676Z
1,100,30,2024-08-16T11:26:30.671Z
1,100,30,2024-08-16T11:26:31.676Z
1,100,30,2024-08-16T11:26:32.677Z
1,100,30,2024-08-16T11:26:33.684Z
1,100,30,2024-08-16T11:26:34.688Z
1,100,30,2024-08-16T11:26:35.693Z
1,100,30,2024-08-16T11:26:36.697Z
1,100,30,2024-08-16T11:26:37.702Z
1,100,30,2024-08-16T11:26:38.706Z
1,100,30,2024-08-16T11:26:39.712Z
1,100,30,2024-08-16T11:26:40.716Z
1,100,30,2024-08-16T11:26:41.760Z
1,100,30,2024-08-16T11:26:42.758Z
1,100,30,2024-08-16T11:26:43.760Z
1,100,30,2024-08-16T11:26:44.760Z
1,100,30,2024-08-16T11:26:45.762Z
1,100,30,2024-08-16T11:26:46.767Z
1,100,30,2024-08-16T11:26:47.769Z
1,100,30,2024-08-16T11:26:48.774Z
1,100,30,2024-08-16T11:26:49.775Z
1,100,30,2024-08-16T11:26:50.782Z
1,100,30,2024-08-16T11:26:51.786Z
1,100,30,2024-08-16T11:26:52.790Z
1,100,30,2024-08-16T11:26:53.792Z
1,100,30,2024-08-16T11:26:54.798Z
1,100,30,2024-08-16T11:26:55.801Z
1,100,30,2024-08-16T11:26:56.808Z
1,100,30,2024-08-16T11:26:57.812Z
1,100,30,2024-08-16T11:26:58.821Z
1,100,30,2024-08-16T11:26:59.814Z
1,100,30,2024-08-16T11:27:00.820Z
1,100,30,2024-08-16T11:27:01.824Z
1,100,30,2024-08-16T11:27:02.832Z
1,100,30,2024-08-16T11:27:03.837Z
1,100,30,2024-08-16T11:27:04.880Z
1,100,30,2024-08-16T11:27:05.875Z
1,100,30,2024-08-16T11:27:06.884Z
1,100,30,2024-08-16T11:27:07.879Z
1,100,30,2024-08-16T11:27:08.881Z
1,100,30,2024-08-16T11:27:09.888Z
1,100,30,2024-08-16T11:27:10.892Z
1,100,30,2024-08-16T11:27:13.904Z
1,100,30,2024-08-16T11:27:15.913Z
1,100,30,2024-08-16T11:27:16.915Z
1,100,30,2024-08-16T11:27:17.929Z
1,100,30,2024-08-16T11:27:18.932Z
1,100,30,2024-08-16T11:27:19.934Z
1,100,30,2024-08-16T11:27:53.820Z
1,100,30,2024-08-16T11:27:54.816Z
1,100,30,2024-08-16T11:27:55.818Z
1,100,30,2024-08-16T11:27:56.824Z
1,100,30,2024-08-16T11:27:57.829Z
1,100,30,2024-08-16T11:27:58.835Z
1,100,30,2024-08-16T11:27:59.840Z
1,100,31,2024-08-16T11:28:00.846Z
1,100,30,2024-08-16T11:28:01.847Z
1,100,30,2024-08-16T11:28:02.853Z
1,100,30,2024-08-16T11:28:03.856Z
1,100,30,2024-08-16T11:28:04.860Z
1,100,30,2024-08-16T11:28:05.863Z
1,100,30,2024-08-16T11:28:06.868Z
1,100,30,2024-08-16T11:28:07.869Z
1,100,30,2024-08-16T11:28:08.876Z
1,100,30,2024-08-16T11:28:09.879Z
1,100,30,2024-08-16T11:28:10.886Z
1,100,30,2024-08-16T11:28:11.890Z
1,100,30,2024-08-16T11:28:12.904Z
1,100,30,2024-08-16T11:28:13.908Z
1,100,30,2024-08-16T11:28:14.908Z
1,100,31,2024-08-16T11:28:15.904Z
1,100,30,2024-08-16T11:28:16.953Z
1,100,30,2024-08-16T11:28:17.947Z
1,100,30,2024-08-16T11:28:18.950Z
1,100,30,2024-08-16T11:28:19.954Z
1,100,30,2024-08-16T11:28:20.967Z
